Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	35	0	32	0	3	0	31	0	30	0	1	0	35
HG00621	26	7	26	1	0	6	24	3	24	1	0	2	33
HG00673	32	7	30	2	2	5	28	4	27	2	1	2	39
HG00733	30	4	29	2	1	2	29	2	29	2	0	0	34
HG00735	43	1	40	0	3	1	42	0	40	0	2	0	44
HG00741	81	1	80	0	1	1	78	0	78	0	0	0	82
HG01071	43	4	40	1	3	3	39	2	38	1	1	1	47
HG01106	37	1	35	0	2	1	35	0	35	0	0	0	38
HG01109	81	11	80	3	1	8	80	6	80	0	0	6	92
HG01175	31	4	29	1	2	3	29	3	29	1	0	2	35
HG01258	31	6	29	1	2	5	26	3	26	1	0	2	37
HG01358	34	3	32	2	2	1	32	2	32	2	0	0	37
HG01361	33	4	30	0	3	4	27	1	27	0	0	1	37
HG01891	55	2	55	1	0	1	55	1	55	1	0	0	57
HG01928	36	1	34	0	2	1	31	0	31	0	0	0	37
HG01952	34	1	32	0	2	1	32	0	32	0	0	0	35
HG01978	15	1	14	0	1	1	14	0	14	0	0	0	16
HG02055	36	18	35	2	1	16	33	12	33	2	0	10	54
HG02080	35	2	35	0	0	2	35	0	35	0	0	0	37
HG02145	58	12	57	1	1	11	57	8	57	1	0	7	70
HG02148	38	1	37	0	1	1	37	0	37	0	0	0	39
HG02257	48	1	44	0	4	1	46	0	44	0	2	0	49
HG02572	79	5	78	2	1	3	76	3	76	2	0	1	84
HG02622	30	3	29	1	1	2	28	0	28	0	0	0	33
HG02630	54	4	54	2	0	2	54	1	54	1	0	0	58
HG02717	57	4	57	1	0	3	56	1	56	1	0	0	61
HG02723	43	3	40	1	3	2	39	1	38	1	1	0	46
HG02818	39	3	38	1	1	2	38	1	38	1	0	0	42
HG02886	51	5	50	2	1	3	49	2	49	1	0	1	56
HG03098	51	8	51	0	0	8	50	4	50	0	0	4	59
HG03453	49	2	49	0	0	2	48	0	48	0	0	0	51
HG03486	54	4	53	2	1	2	52	2	52	2	0	0	58
HG03492	31	5	31	0	0	5	30	3	30	0	0	3	36
HG03516	52	7	52	0	0	7	51	2	51	0	0	2	59
HG03540	56	2	56	1	0	1	56	1	56	1	0	0	58
HG03579	60	1	58	1	2	0	58	1	58	1	0	0	61
NA18906	82	3	80	2	2	1	77	3	77	2	0	1	85
NA19240	34	1	34	0	0	1	32	0	32	0	0	0	35
NA20129	30	2	30	1	0	1	30	1	30	1	0	0	32
