Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
HG00438	35	3	32	0	3	3	31	1	30	0	1	1	38	mean_cvg_less_500
HG00621	26	3	26	1	0	2	24	1	24	1	0	0	29	.
HG00673	32	5	30	2	2	3	28	2	27	2	1	0	37	.
HG00733	30	5	29	2	1	3	29	2	29	2	0	0	35	.
HG00735	43	1	40	0	3	1	42	0	40	0	2	0	44	mean_cvg_less_500
HG00741	80	11	80	0	0	11	78	8	78	0	0	8	91	mean_cvg_less_500;min_cvg_less_100
HG01071	22	12	20	1	2	11	21	11	20	1	1	10	34	mean_cvg_less_500;min_cvg_less_100
HG01106	37	3	35	0	2	3	35	2	35	0	0	2	40	mean_cvg_less_500;min_cvg_less_100
HG01109	82	5	81	2	1	3	80	1	80	0	0	1	87	mean_cvg_less_500
HG01175	30	4	29	1	1	3	29	2	29	1	0	1	34	mean_cvg_less_500
HG01258	31	6	29	1	2	5	26	2	26	1	0	1	37	.
HG01358	33	5	32	2	1	3	32	2	32	2	0	0	38	.
HG01361	33	4	30	1	3	3	27	0	27	0	0	0	37	.
HG01891	55	2	55	1	0	1	55	1	55	1	0	0	57	.
HG01928	36	6	34	0	2	6	31	4	31	0	0	4	42	mean_cvg_less_500;min_cvg_less_100
HG01952	34	1	32	0	2	1	32	0	32	0	0	0	35	mean_cvg_less_500
HG01978	4	2	4	0	0	2	4	2	4	0	0	2	6	mean_cvg_less_500;min_cvg_less_100
HG02055	36	10	35	2	1	8	33	6	33	2	0	4	46	.
HG02080	35	2	35	0	0	2	35	0	35	0	0	0	37	mean_cvg_less_500
HG02145	58	7	57	1	1	6	56	4	56	1	0	3	65	.
HG02148	38	2	37	0	1	2	37	1	37	0	0	1	40	.
HG02257	48	1	44	0	4	1	46	0	44	0	2	0	49	.
HG02572	79	3	78	2	1	1	76	2	76	2	0	0	82	.
HG02622	30	6	29	1	1	5	28	3	28	0	0	3	36	mean_cvg_less_500;min_cvg_less_100
HG02630	55	4	55	1	0	3	54	1	54	1	0	0	59	.
HG02717	57	5	57	1	0	4	56	2	56	1	0	1	62	.
HG02723	42	4	39	2	3	2	38	2	37	2	1	0	46	.
HG02818	39	3	38	1	1	2	38	1	38	1	0	0	42	.
HG02886	50	5	50	2	0	3	49	2	49	1	0	1	55	.
HG03098	51	5	51	0	0	5	50	1	50	0	0	1	56	mean_cvg_less_500;min_cvg_less_100
HG03453	49	3	49	0	0	3	48	0	48	0	0	0	52	.
HG03486	54	4	53	2	1	2	52	2	52	2	0	0	58	.
HG03492	31	2	31	0	0	2	30	1	30	0	0	1	33	.
HG03516	52	3	52	0	0	3	51	0	51	0	0	0	55	mean_cvg_less_500
HG03540	56	2	56	1	0	1	56	1	56	1	0	0	58	.
HG03579	60	1	58	1	2	0	58	1	58	1	0	0	61	.
NA18906	81	4	80	2	1	2	77	2	77	2	0	0	85	mean_cvg_less_500
NA19240	34	2	34	0	0	2	32	0	32	0	0	0	36	.
NA20129	30	2	30	1	0	1	30	1	30	1	0	0	32	.
