Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	58	3	54	0	4	3	51	1	50	0	1	1	61
HG00621	47	3	47	1	0	2	43	1	43	1	0	0	50
HG00673	55	6	53	2	2	4	49	2	48	2	1	0	61
HG00733	30	6	29	2	1	4	29	2	29	2	0	0	36
HG00735	84	2	79	0	5	2	81	0	78	0	3	0	86
HG00741	116	12	116	0	0	12	112	8	112	0	0	8	128
HG01071	73	23	68	5	5	18	64	17	63	4	1	13	96
HG01106	56	3	52	0	4	3	52	2	52	0	0	2	59
HG01109	148	5	146	2	2	3	144	1	144	0	0	1	153
HG01175	30	5	29	1	1	4	29	2	29	1	0	1	35
HG01258	45	10	43	2	2	8	39	1	39	0	0	1	55
HG01358	33	6	32	2	1	4	32	2	32	2	0	0	39
HG01361	62	5	56	2	6	3	52	1	51	1	1	0	67
HG01891	104	3	104	2	0	1	104	2	104	2	0	0	107
HG01928	51	6	47	0	4	6	44	4	44	0	0	4	57
HG01952	35	1	32	0	3	1	32	0	32	0	0	0	36
HG01978	24	13	22	7	2	6	22	12	22	7	0	5	37
HG02055	60	11	59	2	1	9	56	6	56	2	0	4	71
HG02080	65	3	65	0	0	3	65	0	65	0	0	0	68
HG02145	104	7	102	1	2	6	101	4	101	1	0	3	111
HG02148	73	2	71	0	2	2	71	1	71	0	0	1	75
HG02257	86	4	80	2	6	2	83	2	80	2	3	0	90
HG02572	143	3	141	2	2	1	137	2	137	2	0	0	146
HG02622	36	6	34	1	2	5	33	3	33	0	0	3	42
HG02630	99	4	99	1	0	3	97	1	97	1	0	0	103
HG02717	105	6	105	1	0	5	103	2	103	1	0	1	111
HG02723	48	4	44	2	4	2	42	2	41	2	1	0	52
HG02818	39	4	38	1	1	3	38	1	38	1	0	0	43
HG02886	93	7	93	3	0	4	91	2	91	1	0	1	100
HG03098	92	6	92	0	0	6	90	2	90	0	0	2	98
HG03453	90	4	90	0	0	4	88	0	88	0	0	0	94
HG03486	99	4	97	2	2	2	95	2	95	2	0	0	103
HG03492	56	2	56	0	0	2	54	1	54	0	0	1	58
HG03516	97	5	97	0	0	5	95	0	95	0	0	0	102
HG03540	104	3	104	2	0	1	104	2	104	2	0	0	107
HG03579	111	1	108	1	3	0	109	1	108	1	1	0	112
NA18906	147	4	145	2	2	2	141	2	141	2	0	0	151
NA19240	62	2	62	0	0	2	58	0	58	0	0	0	64
NA20129	53	2	53	1	0	1	53	1	53	1	0	0	55
