Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	33	3	31	1	2	2	31	0	30	0	1	0	36
HG00621	25	5	25	3	0	2	24	2	24	2	0	0	30
HG00673	31	5	29	3	2	2	28	2	27	2	1	0	36
HG00733	29	5	28	3	1	2	28	3	28	3	0	0	34
HG00735	43	1	40	0	3	1	42	0	40	0	2	0	44
HG00741	81	1	80	0	1	1	78	0	78	0	0	0	82
HG01071	43	4	40	1	3	3	41	0	39	0	2	0	47
HG01106	34	4	33	2	1	2	33	2	33	2	0	0	38
HG01109	82	4	81	3	1	1	78	3	78	3	0	0	86
HG01175	29	5	28	3	1	2	28	3	28	3	0	0	34
HG01258	31	4	29	2	2	2	26	1	26	1	0	0	35
HG01358	32	5	31	3	1	2	31	3	31	3	0	0	37
HG01361	31	5	29	2	2	3	27	1	27	1	0	0	36
HG01891	55	2	55	1	0	1	55	1	55	1	0	0	57
HG01928	35	3	33	1	2	2	31	0	31	0	0	0	38
HG01952	34	1	32	0	2	1	32	0	32	0	0	0	35
HG01978	15	2	15	0	0	2	15	0	15	0	0	0	17
HG02055	36	7	34	4	2	3	33	4	33	3	0	1	43
HG02080	35	2	35	0	0	2	35	0	35	0	0	0	37
HG02145	58	2	57	1	1	1	57	1	57	1	0	0	60
HG02148	37	2	37	0	0	2	37	0	37	0	0	0	39
HG02257	46	4	43	2	3	2	45	2	43	2	2	0	50
HG02572	78	5	77	4	1	1	76	3	76	3	0	0	83
HG02622	31	2	30	0	1	2	28	0	28	0	0	0	33
HG02630	54	4	54	3	0	1	54	2	54	2	0	0	58
HG02717	57	4	57	1	0	3	56	1	56	1	0	0	61
HG02723	42	4	40	1	2	3	39	1	38	1	1	0	46
HG02818	39	4	38	2	1	2	38	2	38	2	0	0	43
HG02886	49	5	49	3	0	2	49	1	49	1	0	0	54
HG03098	50	4	50	2	0	2	50	1	50	1	0	0	54
HG03453	49	2	49	0	0	2	48	0	48	0	0	0	51
HG03486	53	5	53	2	0	3	52	2	52	2	0	0	58
HG03492	31	6	31	1	0	5	30	4	30	1	0	3	37
HG03516	52	4	52	1	0	3	51	1	51	1	0	0	56
HG03540	56	2	56	1	0	1	56	1	56	1	0	0	58
HG03579	59	2	58	1	1	1	58	1	58	1	0	0	61
NA18906	80	4	79	3	1	1	76	3	76	3	0	0	84
NA19240	33	3	33	1	0	2	32	0	32	0	0	0	36
NA20129	30	2	30	1	0	1	30	1	30	1	0	0	32
