Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
HG00438	34	3	32	0	2	3	31	0	30	0	1	0	37	low_CN;mean_cvg_less_500
HG00621	25	6	25	4	0	2	24	2	24	2	0	0	31	.
HG00673	31	7	29	3	2	4	28	2	27	2	1	0	38	.
HG00733	29	5	28	3	1	2	28	3	28	3	0	0	34	.
HG00735	43	1	40	0	3	1	42	0	40	0	2	0	44	low_CN;mean_cvg_less_500
HG00741	81	2	80	1	1	1	78	0	78	0	0	0	83	low_CN;mean_cvg_less_500
HG01071	44	3	40	1	4	2	41	0	39	0	2	0	47	low_CN;mean_cvg_less_500
HG01106	35	4	34	2	1	2	34	2	34	2	0	0	39	low_CN;mean_cvg_less_500;min_cvg_less_100
HG01109	83	4	82	3	1	1	79	2	79	2	0	0	87	low_CN;mean_cvg_less_500
HG01175	29	5	28	3	1	2	28	3	28	3	0	0	34	low_CN;mean_cvg_less_500
HG01258	31	7	29	4	2	3	26	1	26	1	0	0	38	.
HG01358	32	6	31	3	1	3	31	3	31	3	0	0	38	.
HG01361	31	7	29	2	2	5	27	1	27	1	0	0	38	.
HG01891	55	3	55	2	0	1	55	1	55	1	0	0	58	.
HG01928	35	4	33	1	2	3	31	0	31	0	0	0	39	low_CN
HG01952	34	1	32	0	2	1	32	0	32	0	0	0	35	low_CN
HG01978	15	2	15	0	0	2	15	0	15	0	0	0	17	low_CN
HG02055	36	8	34	5	2	3	33	4	33	3	0	1	44	.
HG02080	35	2	35	0	0	2	35	0	35	0	0	0	37	low_CN;mean_cvg_less_500
HG02145	57	5	56	4	1	1	56	1	56	1	0	0	62	.
HG02148	37	2	37	0	0	2	37	0	37	0	0	0	39	.
HG02257	47	6	44	3	3	3	46	2	44	2	2	0	53	.
HG02572	79	5	78	3	1	2	76	3	76	3	0	0	84	.
HG02622	31	3	30	0	1	3	28	1	28	0	0	1	34	low_CN;mean_cvg_less_500;min_cvg_less_100
HG02630	55	5	55	2	0	3	54	1	54	1	0	0	60	.
HG02717	57	4	57	1	0	3	56	1	56	1	0	0	61	.
HG02723	41	5	39	2	2	3	38	2	37	2	1	0	46	.
HG02818	39	4	38	2	1	2	38	2	38	2	0	0	43	.
HG02886	50	6	50	2	0	4	49	2	49	1	0	1	56	.
HG03098	51	4	51	1	0	3	50	1	50	1	0	0	55	low_CN;mean_cvg_less_500
HG03453	49	3	49	0	0	3	48	0	48	0	0	0	52	.
HG03486	53	5	53	2	0	3	52	2	52	2	0	0	58	.
HG03492	31	3	31	1	0	2	30	2	30	1	0	1	34	.
HG03516	52	4	52	1	0	3	51	1	51	1	0	0	56	.
HG03540	56	2	56	1	0	1	56	1	56	1	0	0	58	.
HG03579	59	3	58	2	1	1	58	1	58	1	0	0	62	.
NA18906	81	3	80	2	1	1	77	2	77	2	0	0	84	low_CN;mean_cvg_less_500
NA19240	33	4	33	2	0	2	32	0	32	0	0	0	37	.
NA20129	30	2	30	1	0	1	30	1	30	1	0	0	32	.
