Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	35	5	33	0	2	5	32	0	31	0	1	0	40
HG00621	45	7	45	5	0	2	43	2	43	2	0	0	52
HG00673	51	11	49	6	2	5	47	4	46	4	1	0	62
HG00733	29	6	28	3	1	3	28	3	28	3	0	0	35
HG00735	84	2	79	0	5	2	81	0	78	0	3	0	86
HG00741	141	2	139	1	2	1	135	0	135	0	0	0	143
HG01071	83	5	76	2	7	3	76	0	73	0	3	0	88
HG01106	55	5	53	2	2	3	53	2	53	2	0	0	60
HG01109	143	5	141	4	2	1	137	3	137	3	0	0	148
HG01175	29	6	28	3	1	3	28	3	28	3	0	0	35
HG01258	44	10	42	6	2	4	38	0	38	0	0	0	54
HG01358	32	7	31	3	1	4	31	3	31	3	0	0	39
HG01361	59	9	55	3	4	6	52	2	51	2	1	0	68
HG01891	104	4	104	3	0	1	104	2	104	2	0	0	108
HG01928	61	7	57	2	4	5	55	0	55	0	0	0	68
HG01952	35	1	32	0	3	1	32	0	32	0	0	0	36
HG01978	27	3	27	0	0	3	27	0	27	0	0	0	30
HG02055	59	7	57	4	2	3	55	3	55	2	0	1	66
HG02080	64	3	64	0	0	3	64	0	64	0	0	0	67
HG02145	103	5	101	4	2	1	101	1	101	1	0	0	108
HG02148	70	3	70	0	0	3	70	0	70	0	0	0	73
HG02257	85	10	81	5	4	5	84	4	81	4	3	0	95
HG02572	134	5	132	3	2	2	128	2	128	2	0	0	139
HG02622	40	3	38	0	2	3	35	1	35	0	0	1	43
HG02630	99	5	99	2	0	3	97	1	97	1	0	0	104
HG02717	102	6	102	1	0	5	100	1	100	1	0	0	108
HG02723	42	7	40	2	2	5	39	2	38	2	1	0	49
HG02818	39	5	38	2	1	3	38	2	38	2	0	0	44
HG02886	92	8	92	3	0	5	90	2	90	1	0	1	100
HG03098	91	5	91	1	0	4	89	1	89	1	0	0	96
HG03453	90	4	90	0	0	4	88	0	88	0	0	0	94
HG03486	96	6	96	2	0	4	94	2	94	2	0	0	102
HG03492	0	0	0	0	0	0	0	0	0	0	0	0	0
HG03516	96	6	96	1	0	5	94	1	94	1	0	0	102
HG03540	100	3	100	2	0	1	100	2	100	2	0	0	103
HG03579	110	3	108	2	2	1	109	1	108	1	1	0	113
NA18906	143	3	141	2	2	1	137	2	137	2	0	0	146
NA19240	57	5	57	3	0	2	55	0	55	0	0	0	62
NA20129	53	2	53	1	0	1	53	1	53	1	0	0	55
