Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
HG00438	34	4	32	0	2	4	31	1	30	0	1	1	38	low_CN;mean_cvg_less_500
HG00621	25	6	25	4	0	2	24	2	24	2	0	0	31	.
HG00673	31	6	29	3	2	3	28	3	27	2	1	1	37	.
HG00733	29	5	28	3	1	2	28	3	28	3	0	0	34	.
HG00735	43	2	40	0	3	2	42	1	40	0	2	1	45	low_CN;mean_cvg_less_500
HG00741	81	2	80	1	1	1	78	0	78	0	0	0	83	low_CN;mean_cvg_less_500
HG01071	44	3	41	0	3	3	41	0	39	0	2	0	47	low_CN;mean_cvg_less_500
HG01106	35	3	34	1	1	2	34	1	34	1	0	0	38	low_CN;mean_cvg_less_500;min_cvg_less_100
HG01109	81	6	80	5	1	1	79	2	79	2	0	0	87	low_CN;mean_cvg_less_500
HG01175	29	6	28	3	1	3	28	4	28	3	0	1	35	low_CN;mean_cvg_less_500
HG01258	31	8	29	3	2	5	26	2	26	1	0	1	39	.
HG01358	32	5	31	3	1	2	31	3	31	3	0	0	37	.
HG01361	32	5	30	1	2	4	27	1	27	1	0	0	37	.
HG01891	55	3	55	2	0	1	55	1	55	1	0	0	58	.
HG01928	35	4	34	0	1	4	31	0	31	0	0	0	39	low_CN
HG01952	33	2	32	0	1	2	32	0	32	0	0	0	35	low_CN
HG01978	15	2	15	0	0	2	15	0	15	0	0	0	17	low_CN
HG02055	36	8	34	5	2	3	33	4	33	3	0	1	44	.
HG02080	35	2	35	0	0	2	35	0	35	0	0	0	37	low_CN;mean_cvg_less_500
HG02145	58	5	57	3	1	2	57	2	57	1	0	1	63	.
HG02148	37	3	37	0	0	3	37	1	37	0	0	1	40	.
HG02257	47	3	44	1	3	2	46	1	44	1	2	0	50	.
HG02572	79	4	78	3	1	1	76	3	76	3	0	0	83	.
HG02622	31	3	30	1	1	2	28	0	28	0	0	0	34	low_CN;mean_cvg_less_500;min_cvg_less_100
HG02630	55	6	55	3	0	3	54	2	54	2	0	0	61	.
HG02717	57	4	57	1	0	3	56	1	56	1	0	0	61	.
HG02723	42	5	40	2	2	3	39	2	38	2	1	0	47	.
HG02818	39	4	38	2	1	2	38	2	38	2	0	0	43	.
HG02886	50	5	50	2	0	3	49	2	49	1	0	1	55	.
HG03098	51	5	51	1	0	4	50	2	50	1	0	1	56	low_CN;mean_cvg_less_500
HG03453	49	3	49	0	0	3	48	0	48	0	0	0	52	.
HG03486	53	5	53	2	0	3	52	2	52	2	0	0	58	.
HG03492	31	38	31	1	0	37	30	33	30	1	0	32	69	.
HG03516	52	4	52	1	0	3	51	1	51	1	0	0	56	.
HG03540	56	3	56	2	0	1	56	1	56	1	0	0	59	.
HG03579	59	2	58	1	1	1	58	1	58	1	0	0	61	.
NA18906	80	5	79	4	1	1	76	3	76	3	0	0	85	low_CN;mean_cvg_less_500
NA19240	33	4	33	2	0	2	32	0	32	0	0	0	37	.
NA20129	30	3	30	2	0	1	30	1	30	1	0	0	33	.
