Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
HG00438	35	7	32	0	3	7	31	5	30	0	1	5	42	mean_cvg_less_500
HG00621	26	10	25	3	1	7	24	5	24	2	0	3	36	mean_cvg_less_500
HG00673	30	12	28	6	2	6	28	7	27	4	1	3	42	mean_cvg_less_500
HG00733	29	41	28	3	1	38	28	39	28	3	0	36	70	mean_cvg_less_500
HG00735	43	13	40	2	3	11	42	12	40	2	2	10	56	mean_cvg_less_500
HG00741	81	18	80	2	1	16	78	15	78	0	0	15	99	mean_cvg_less_500
HG01071	43	19	40	1	3	18	41	14	39	0	2	14	62	mean_cvg_less_500
HG01106	37	48	35	1	2	47	35	45	35	1	0	44	85	mean_cvg_less_500
HG01109	81	27	79	6	2	21	79	23	79	5	0	18	108	mean_cvg_less_500
HG01175	29	7	28	3	1	4	28	5	28	3	0	2	36	mean_cvg_less_500
HG01258	30	7	28	3	2	4	26	3	26	1	0	2	37	mean_cvg_less_500
HG01358	32	10	31	3	1	7	31	8	31	3	0	5	42	mean_cvg_less_500
HG01361	32	8	30	3	2	5	27	5	27	3	0	2	40	mean_cvg_less_500
HG01891	55	10	55	4	0	6	55	8	55	2	0	6	65	mean_cvg_less_500
HG01928	35	6	34	1	1	5	31	2	31	1	0	1	41	mean_cvg_less_500
HG01952	33	3	32	0	1	3	32	1	32	0	0	1	36	mean_cvg_less_500
HG01978	15	6	15	1	0	5	15	4	15	1	0	3	21	mean_cvg_less_500
HG02055	36	15	34	7	2	8	33	9	33	4	0	5	51	mean_cvg_less_500
HG02080	35	8	35	0	0	8	35	5	35	0	0	5	43	mean_cvg_less_500
HG02145	58	7	57	4	1	3	57	4	57	2	0	2	65	mean_cvg_less_500
HG02148	37	8	37	2	0	6	37	6	37	2	0	4	45	mean_cvg_less_500
HG02257	47	15	44	2	3	13	46	12	44	2	2	10	62	mean_cvg_less_500
HG02572	79	6	78	3	1	3	76	4	76	3	0	1	85	mean_cvg_less_500
HG02622	32	44	30	0	2	44	28	41	28	0	0	41	76	mean_cvg_less_500
HG02630	55	9	55	4	0	5	54	4	54	2	0	2	64	mean_cvg_less_500
HG02717	57	17	57	1	0	16	56	14	56	1	0	13	74	mean_cvg_less_500
HG02723	43	8	40	2	3	6	39	6	38	2	1	4	51	mean_cvg_less_500
HG02818	39	11	38	2	1	9	38	8	38	2	0	6	50	mean_cvg_less_500
HG02886	50	13	50	1	0	12	49	9	49	1	0	8	63	mean_cvg_less_500
HG03098	51	32	51	1	0	31	50	28	50	1	0	27	83	mean_cvg_less_500
HG03453	49	7	49	0	0	7	48	3	48	0	0	3	56	mean_cvg_less_500
HG03486	53	11	53	3	0	8	52	7	52	3	0	4	64	mean_cvg_less_500
HG03492	31	38	31	1	0	37	30	34	30	1	0	33	69	mean_cvg_less_500
HG03516	52	9	52	1	0	8	51	6	51	1	0	5	61	mean_cvg_less_500
HG03540	57	5	56	1	1	4	56	4	56	1	0	3	62	mean_cvg_less_500
HG03579	59	2	58	1	1	1	58	1	58	1	0	0	61	mean_cvg_less_500
NA18906	80	7	77	4	3	3	77	5	77	2	0	3	87	mean_cvg_less_500
NA19240	33	14	33	3	0	11	32	9	32	0	0	9	47	mean_cvg_less_500
NA20129	30	9	30	4	0	5	30	7	30	2	0	5	39	mean_cvg_less_500
