Run	ContaminationStatus	ContaminationLevel	Distance	SampleCoverage
HG00438	NO	ND	14	389
HG00621	YES	0.008	10	385
HG00673	NO	ND	13	383
HG00733	YES	0.003	12	388
HG00735	YES	0.003	15	388
HG00741	NO	ND	21	381
HG01071	NO	ND	17	393
HG01106	NO	ND	15	387
HG01109	NO	ND	27	377
HG01175	YES	0.003	11	382
HG01258	NO	ND	15	390
HG01358	YES	0.003	11	385
HG01361	YES	0.003	16	377
HG01891	YES	0.003	16	382
HG01928	NO	ND	15	385
HG01952	YES	0.003	11	381
HG01978	NO	ND	10	393
HG02055	NO	ND	15	391
HG02080	NO	ND	17	387
HG02145	NO	ND	18	383
HG02148	NO	ND	15	393
HG02257	NO	ND	14	398
HG02572	NO	ND	20	384
HG02622	YES	0.003	15	385
HG02630	NO	ND	22	389
HG02717	NO	ND	22	387
HG02723	YES	0.003	7	391
HG02818	NO	ND	16	388
HG02886	NO	ND	20	384
HG03098	YES	0.003	16	384
HG03453	NO	ND	20	387
HG03486	NO	ND	20	382
HG03492	NO	ND	12	390
HG03516	NO	ND	20	382
HG03540	YES	0.003	18	388
HG03579	NO	ND	20	387
NA18906	NO	ND	27	381
NA19240	NO	ND	16	389
NA20129	YES	0.003	13	387
