Run	haplogroup
HG00438	F1e1
HG00621	N9a10
HG00673	F1d
HG00733	A2
HG00735	C1b2
HG00741	L1b1a7a
HG01071	C1b4
HG01106	A2k*
HG01109	L0a1a2
HG01175	A2
HG01258	B2d
HG01358	A2w
HG01361	B2d
HG01891	L2a1a2
HG01928	B2b
HG01952	A2+(64)+@153
HG01978	H13a1a1
HG02055	U6a3c
HG02080	M9a1a3
HG02145	L2c3*1
HG02148	D1
HG02257	C
HG02572	L1b1a14
HG02622	U6a3f
HG02630	L2a1l2
HG02717	L2a1l2
HG02723	L3b2a
HG02818	L3e3b
HG02886	L2a1f
HG03098	L2a1l
HG03453	L2a1f
HG03486	L2a1+143+@16309
HG03492	R6a2
HG03516	L2a1f
HG03540	L2a1a3
HG03579	L2a1a1
NA18906	L0a1a2
NA19240	L3e2b5
NA20129	L3e2a
