Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	35	8	32	0	3	8	31	5	30	0	1	5	43
HG00621	26	9	25	3	1	6	24	5	24	2	0	3	35
HG00673	30	13	28	6	2	7	28	7	27	4	1	3	43
HG00733	29	41	28	3	1	38	28	39	28	3	0	36	70
HG00735	43	13	40	2	3	11	42	12	40	2	2	10	56
HG00741	81	17	80	0	1	17	78	15	78	0	0	15	98
HG01071	43	18	40	1	3	17	41	14	39	0	2	14	61
HG01106	37	48	35	1	2	47	35	45	35	1	0	44	85
HG01109	81	26	79	5	2	21	79	23	79	5	0	18	107
HG01175	29	8	28	3	1	5	28	5	28	3	0	2	37
HG01258	30	7	28	3	2	4	26	3	26	1	0	2	37
HG01358	32	11	31	3	1	8	31	8	31	3	0	5	43
HG01361	32	9	30	3	2	6	27	5	27	3	0	2	41
HG01891	56	9	55	2	1	7	55	8	55	2	0	6	65
HG01928	35	6	34	1	1	5	31	2	31	1	0	1	41
HG01952	33	4	32	0	1	4	32	1	32	0	0	1	37
HG01978	15	7	15	1	0	6	15	4	15	1	0	3	22
HG02055	36	14	34	6	2	8	33	10	33	5	0	5	50
HG02080	35	8	35	0	0	8	35	5	35	0	0	5	43
HG02145	59	5	57	2	2	3	57	4	57	2	0	2	64
HG02148	37	9	37	2	0	7	37	6	37	2	0	4	46
HG02257	47	15	44	2	3	13	46	12	44	2	2	10	62
HG02572	79	6	78	3	1	3	76	4	76	3	0	1	85
HG02622	32	43	30	0	2	43	28	40	28	0	0	40	75
HG02630	56	7	55	2	1	5	54	4	54	2	0	2	63
HG02717	57	20	57	1	0	19	56	15	56	1	0	14	77
HG02723	43	8	40	2	3	6	39	6	38	2	1	4	51
HG02818	39	12	38	2	1	10	38	8	38	2	0	6	51
HG02886	50	14	50	2	0	12	49	9	49	1	0	8	64
HG03098	51	32	51	1	0	31	50	28	50	1	0	27	83
HG03453	49	8	49	0	0	8	48	3	48	0	0	3	57
HG03486	53	13	53	3	0	10	52	7	52	3	0	4	66
HG03492	31	38	31	1	0	37	30	34	30	1	0	33	69
HG03516	52	10	52	1	0	9	51	5	51	1	0	4	62
HG03540	57	4	56	1	1	3	56	4	56	1	0	3	61
HG03579	59	2	58	1	1	1	58	1	58	1	0	0	61
NA18906	81	6	77	2	4	4	77	5	77	2	0	3	87
NA19240	33	13	33	1	0	12	32	9	32	0	0	9	46
NA20129	31	8	30	2	1	6	30	7	30	2	0	5	39
