Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	35	2	32	0	3	2	31	0	30	0	1	0	37
HG00621	27	1	26	0	1	1	24	0	24	0	0	0	28
HG00673	31	6	28	3	3	3	28	2	27	2	1	0	37
HG00733	31	2	29	1	2	1	29	1	29	1	0	0	33
HG00735	44	0	40	0	4	0	42	0	40	0	2	0	44
HG00741	82	0	80	0	2	0	78	0	78	0	0	0	82
HG01071	46	1	41	0	5	1	41	0	39	0	2	0	47
HG01106	37	1	35	0	2	1	35	0	35	0	0	0	38
HG01109	84	0	80	0	4	0	80	0	80	0	0	0	84
HG01175	32	1	29	1	3	0	29	1	29	1	0	0	33
HG01258	32	2	29	1	3	1	26	1	26	1	0	0	34
HG01358	35	2	32	2	3	0	32	2	32	2	0	0	37
HG01361	34	2	30	1	4	1	27	1	27	1	0	0	36
HG01891	56	1	55	1	1	0	55	1	55	1	0	0	57
HG01928	36	2	34	0	2	2	31	0	31	0	0	0	38
HG01952	35	0	32	0	3	0	32	0	32	0	0	0	35
HG01978	16	1	15	0	1	1	15	0	15	0	0	0	17
HG02055	39	3	35	2	4	1	34	2	33	2	1	0	42
HG02080	37	0	35	0	2	0	35	0	35	0	0	0	37
HG02145	59	1	57	1	2	0	57	1	57	1	0	0	60
HG02148	39	0	37	0	2	0	37	0	37	0	0	0	39
HG02257	49	0	44	0	5	0	46	0	44	0	2	0	49
HG02572	80	2	78	2	2	0	76	2	76	2	0	0	82
HG02622	32	1	30	0	2	1	28	0	28	0	0	0	33
HG02630	56	1	55	1	1	0	54	1	54	1	0	0	57
HG02717	59	3	57	1	2	2	56	1	56	1	0	0	62
HG02723	43	3	40	1	3	2	39	1	38	1	1	0	46
HG02818	41	0	38	0	3	0	38	0	38	0	0	0	41
HG02886	52	4	50	2	2	2	49	2	49	1	0	1	56
HG03098	53	1	51	0	2	1	50	0	50	0	0	0	54
HG03453	51	2	49	0	2	2	48	0	48	0	0	0	53
HG03486	55	3	53	1	2	2	52	1	52	1	0	0	58
HG03492	32	0	31	0	1	0	30	0	30	0	0	0	32
HG03516	55	0	52	0	3	0	51	0	51	0	0	0	55
HG03540	57	1	56	1	1	0	56	1	56	1	0	0	58
HG03579	60	1	58	1	2	0	58	1	58	1	0	0	61
NA18906	81	2	77	2	4	0	77	2	77	2	0	0	83
NA19240	35	1	34	0	1	1	32	0	32	0	0	0	36
NA20129	31	1	30	1	1	0	30	1	30	1	0	0	32
