Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
HG00438	34	2	32	1	2	1	31	0	30	0	1	0	36	.
HG00621	26	2	26	0	0	2	24	0	24	0	0	0	28	.
HG00673	32	5	30	3	2	2	28	2	27	2	1	0	37	.
HG00733	30	3	29	3	1	0	29	1	29	1	0	0	33	.
HG00735	43	3	40	2	3	1	41	2	40	1	1	1	46	.
HG00741	81	2	80	1	1	1	78	0	78	0	0	0	83	.
HG01071	43	4	41	2	2	2	40	1	39	0	1	1	47	.
HG01106	36	1	35	1	1	0	35	0	35	0	0	0	37	.
HG01109	85	1	83	1	2	0	80	0	80	0	0	0	86	.
HG01175	30	3	29	3	1	0	29	1	29	1	0	0	33	.
HG01258	30	6	29	3	1	3	26	1	26	1	0	0	36	.
HG01358	33	4	32	4	1	0	32	2	32	2	0	0	37	.
HG01361	31	5	30	3	1	2	27	1	27	1	0	0	36	.
HG01891	57	0	56	0	1	0	56	0	56	0	0	0	57	.
HG01928	34	4	34	2	0	2	31	0	31	0	0	0	38	.
HG01952	33	2	32	2	1	0	32	0	32	0	0	0	35	.
HG01978	15	0	15	0	0	0	15	0	15	0	0	0	15	.
HG02055	37	7	35	4	2	3	33	3	33	2	0	1	44	.
HG02080	35	1	35	1	0	0	35	0	35	0	0	0	36	.
HG02145	60	2	58	2	2	0	57	1	57	1	0	0	62	.
HG02148	37	1	37	1	0	0	37	0	37	0	0	0	38	.
HG02257	45	4	44	2	1	2	45	2	44	1	1	1	49	.
HG02572	80	3	78	3	2	0	76	2	76	2	0	0	83	.
HG02622	32	2	30	1	2	1	28	0	28	0	0	0	34	.
HG02630	56	1	55	1	1	0	54	1	54	1	0	0	57	.
HG02717	57	3	57	2	0	1	56	1	56	1	0	0	60	.
HG02723	42	5	40	4	2	1	39	2	38	2	1	0	47	.
HG02818	39	2	38	2	1	0	38	0	38	0	0	0	41	.
HG02886	50	4	50	3	0	1	49	2	49	1	0	1	54	.
HG03098	51	1	51	1	0	0	50	0	50	0	0	0	52	.
HG03453	49	2	49	1	0	1	48	0	48	0	0	0	51	.
HG03486	53	3	53	2	0	1	52	1	52	1	0	0	56	.
HG03492	31	0	31	0	0	0	30	0	30	0	0	0	31	.
HG03516	52	1	52	0	0	1	51	0	51	0	0	0	53	.
HG03540	57	1	56	1	1	0	56	1	56	1	0	0	58	.
HG03579	59	2	58	1	1	1	58	1	58	1	0	0	61	.
NA18906	81	3	80	3	1	0	77	2	77	2	0	0	84	.
NA19240	35	1	34	0	1	1	32	0	32	0	0	0	36	.
NA20129	31	1	30	1	1	0	30	1	30	1	0	0	32	.
