Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	32	3	32	0	0	3	30	1	30	0	0	1	35
HG00621	25	5	25	3	0	2	24	2	24	2	0	0	30
HG00673	30	6	29	3	1	3	28	2	27	2	1	0	36
HG00733	29	3	29	2	0	1	29	1	29	1	0	0	32
HG00735	40	4	40	0	0	4	40	2	40	0	0	2	44
HG00741	80	2	80	0	0	2	78	0	78	0	0	0	82
HG01071	42	5	41	1	1	4	40	1	39	0	1	1	47
HG01106	35	2	35	1	0	1	35	0	35	0	0	0	37
HG01109	84	2	83	1	1	1	80	1	80	1	0	0	86
HG01175	29	4	29	3	0	1	29	2	29	2	0	0	33
HG01258	29	6	29	2	0	4	26	1	26	1	0	0	35
HG01358	32	4	32	3	0	1	32	2	32	2	0	0	36
HG01361	30	5	30	2	0	3	27	1	27	1	0	0	35
HG01891	55	2	55	1	0	1	55	1	55	1	0	0	57
HG01928	34	3	34	1	0	2	31	0	31	0	0	0	37
HG01952	32	2	32	1	0	1	32	0	32	0	0	0	34
HG01978	15	0	15	0	0	0	15	0	15	0	0	0	15
HG02055	36	6	35	2	1	4	33	3	33	2	0	1	42
HG02080	35	1	35	1	0	0	35	0	35	0	0	0	36
HG02145	58	2	57	1	1	1	57	1	57	1	0	0	60
HG02148	37	1	37	1	0	0	37	0	37	0	0	0	38
HG02257	45	3	44	1	1	2	45	1	44	0	1	1	48
HG02572	78	5	78	3	0	2	76	3	76	3	0	0	83
HG02622	31	2	30	0	1	2	28	0	28	0	0	0	33
HG02630	55	3	55	2	0	1	54	2	54	2	0	0	58
HG02717	57	4	57	2	0	2	56	1	56	1	0	0	61
HG02723	40	5	40	2	0	3	38	2	38	1	0	1	45
HG02818	38	4	38	3	0	1	38	2	38	2	0	0	42
HG02886	50	5	50	3	0	2	49	2	49	1	0	1	55
HG03098	51	4	51	2	0	2	50	1	50	1	0	0	55
HG03453	49	3	49	1	0	2	48	0	48	0	0	0	52
HG03486	53	4	53	3	0	1	52	2	52	2	0	0	57
HG03492	31	2	31	2	0	0	30	2	30	2	0	0	33
HG03516	52	3	52	1	0	2	51	1	51	1	0	0	55
HG03540	56	2	56	1	0	1	56	1	56	1	0	0	58
HG03579	58	3	58	1	0	2	58	1	58	1	0	0	61
NA18906	80	3	80	2	0	1	77	2	77	2	0	0	83
NA19240	34	2	34	0	0	2	32	0	32	0	0	0	36
NA20129	30	2	30	1	0	1	30	1	30	1	0	0	32
