Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
HG00438	28	12	27	5	1	7	28	6	27	3	1	3	40	.
HG00621	21	12	21	9	0	3	21	7	21	5	0	2	33	multiple_NUMTs
HG00673	27	13	26	8	1	5	27	5	26	3	1	2	40	.
HG00733	23	14	23	9	0	5	23	11	23	7	0	4	37	mean_cvg_less_500
HG00735	36	11	34	8	2	3	36	8	34	6	2	2	47	multiple_NUMTs
HG00741	69	17	69	13	0	4	69	12	69	9	0	3	86	multiple_NUMTs
HG01071	35	16	33	9	2	7	35	11	33	6	2	5	51	multiple_NUMTs
HG01106	30	9	30	7	0	2	30	6	30	5	0	1	39	mean_cvg_less_500
HG01109	70	18	70	16	0	2	70	12	70	11	0	1	88	multiple_NUMTs
HG01175	25	10	25	8	0	2	25	7	25	6	0	1	35	mean_cvg_less_500
HG01258	26	12	26	6	0	6	25	5	25	2	0	3	38	.
HG01358	28	10	28	6	0	4	28	7	28	5	0	2	38	.
HG01361	27	11	27	5	0	6	26	5	26	3	0	2	38	.
HG01891	50	9	50	8	0	1	50	7	50	6	0	1	59	multiple_NUMTs
HG01928	29	11	29	5	0	6	29	5	29	2	0	3	40	.
HG01952	26	11	26	7	0	4	26	8	26	6	0	2	37	.
HG01978	14	6	14	1	0	5	14	5	14	1	0	4	20	.
HG02055	30	17	30	10	0	7	30	10	30	6	0	4	47	.
HG02080	31	7	31	5	0	2	31	6	31	4	0	2	38	multiple_NUMTs
HG02145	48	15	48	11	0	4	48	12	48	9	0	3	63	multiple_NUMTs
HG02148	33	7	33	5	0	2	33	5	33	4	0	1	40	mean_cvg_less_500
HG02257	40	11	39	5	1	6	40	9	39	5	1	4	51	multiple_NUMTs
HG02572	67	20	67	15	0	5	67	15	67	11	0	4	87	multiple_NUMTs
HG02622	26	10	26	6	0	4	26	4	26	2	0	2	36	.
HG02630	48	13	48	10	0	3	48	10	48	7	0	3	61	multiple_NUMTs
HG02717	51	12	51	7	0	5	51	8	51	5	0	3	63	multiple_NUMTs
HG02723	31	19	31	12	0	7	31	14	31	9	0	5	50	mean_cvg_less_500;min_cvg_less_100;multiple_NUMTs
HG02818	37	6	36	4	1	2	36	4	36	4	0	0	43	multiple_NUMTs
HG02886	43	14	43	11	0	3	43	10	43	7	0	3	57	multiple_NUMTs
HG03098	43	15	43	11	0	4	43	11	43	8	0	3	58	multiple_NUMTs
HG03453	43	12	43	8	0	4	43	8	43	5	0	3	55	multiple_NUMTs
HG03486	51	7	51	4	0	3	51	3	51	3	0	0	58	multiple_NUMTs
HG03492	23	10	23	8	0	2	23	9	23	7	0	2	33	mean_cvg_less_500;min_cvg_less_100
HG03516	44	15	44	11	0	4	44	11	44	8	0	3	59	multiple_NUMTs
HG03540	50	10	50	9	0	1	50	8	50	7	0	1	60	multiple_NUMTs
HG03579	47	17	47	14	0	3	47	14	47	12	0	2	64	multiple_NUMTs
NA18906	78	6	77	5	1	1	74	5	74	5	0	0	84	mean_cvg_less_500
NA19240	32	4	32	2	0	2	31	1	31	1	0	0	36	multiple_NUMTs
NA20129	29	3	29	2	0	1	29	2	29	2	0	0	32	multiple_NUMTs
