Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	29	5	28	4	1	1	29	2	28	2	1	0	34
HG00621	22	9	22	6	0	3	22	4	22	2	0	2	31
HG00673	27	12	26	8	1	4	27	5	26	3	1	2	39
HG00733	25	12	25	7	0	5	25	9	25	5	0	4	37
HG00735	40	7	38	4	2	3	40	4	38	2	2	2	47
HG00741	74	12	74	8	0	4	74	7	74	4	0	3	86
HG01071	37	15	35	7	2	8	37	10	35	4	2	6	52
HG01106	31	8	31	6	0	2	31	5	31	4	0	1	39
HG01109	77	11	77	8	0	3	77	5	77	3	0	2	88
HG01175	27	7	27	5	0	2	27	4	27	3	0	1	34
HG01258	26	12	26	6	0	6	25	5	25	2	0	3	38
HG01358	28	10	28	6	0	4	28	7	28	5	0	2	38
HG01361	27	9	27	3	0	6	26	3	26	1	0	2	36
HG01891	53	6	53	5	0	1	53	4	53	3	0	1	59
HG01928	31	4	31	3	0	1	30	1	30	1	0	0	35
HG01952	28	9	28	5	0	4	28	6	28	4	0	2	37
HG01978	14	1	14	1	0	0	14	1	14	1	0	0	15
HG02055	32	14	32	7	0	7	32	7	32	3	0	4	46
HG02080	32	3	32	3	0	0	32	3	32	3	0	0	35
HG02145	56	7	56	3	0	4	56	4	56	1	0	3	63
HG02148	36	4	36	2	0	2	36	2	36	1	0	1	40
HG02257	44	3	42	2	2	1	44	2	42	2	2	0	47
HG02572	72	15	72	10	0	5	72	10	72	6	0	4	87
HG02622	27	9	27	5	0	4	27	3	27	1	0	2	36
HG02630	53	8	53	5	0	3	53	5	53	2	0	3	61
HG02717	55	8	55	3	0	5	55	4	55	1	0	3	63
HG02723	34	15	34	8	0	7	34	10	34	5	0	5	49
HG02818	39	4	38	2	1	2	38	2	38	2	0	0	43
HG02886	49	8	49	5	0	3	49	4	49	1	0	3	57
HG03098	48	10	48	6	0	4	48	6	48	3	0	3	58
HG03453	47	8	47	4	0	4	47	4	47	1	0	3	55
HG03486	52	6	52	3	0	3	52	2	52	2	0	0	58
HG03492	26	5	26	5	0	0	26	4	26	4	0	0	31
HG03516	50	9	50	4	0	5	50	4	50	1	0	3	59
HG03540	54	6	54	5	0	1	54	4	54	3	0	1	60
HG03579	52	12	52	9	0	3	52	9	52	7	0	2	64
NA18906	79	5	78	4	1	1	75	4	75	4	0	0	84
NA19240	33	2	33	1	0	1	32	0	32	0	0	0	35
NA20129	30	2	30	1	0	1	30	1	30	1	0	0	32
