Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
HG00438	32	5	30	2	2	3	31	0	30	0	1	0	37	.
HG00621	24	6	24	4	0	2	24	2	24	2	0	0	30	.
HG00673	31	4	29	3	2	1	28	2	27	2	1	0	35	.
HG00733	30	5	29	3	1	2	29	3	29	3	0	0	35	.
HG00735	43	2	40	1	3	1	42	1	40	1	2	0	45	.
HG00741	80	2	79	1	1	1	78	0	78	0	0	0	82	.
HG01071	43	4	40	1	3	3	41	0	39	0	2	0	47	mean_cvg_less_500
HG01106	35	3	34	1	1	2	34	1	34	1	0	0	38	.
HG01109	83	3	82	2	1	1	79	2	79	2	0	0	86	.
HG01175	30	3	29	1	1	2	29	1	29	1	0	0	33	.
HG01258	29	6	28	3	1	3	26	1	26	1	0	0	35	.
HG01358	33	4	32	2	1	2	32	2	32	2	0	0	37	.
HG01361	30	7	29	3	1	4	27	2	27	2	0	0	37	.
HG01891	55	2	55	1	0	1	55	1	55	1	0	0	57	mean_cvg_less_500
HG01928	33	5	33	1	0	4	31	0	31	0	0	0	38	.
HG01952	31	4	31	1	0	3	31	1	31	1	0	0	35	.
HG01978	15	2	15	0	0	2	15	0	15	0	0	0	17	.
HG02055	37	4	34	2	3	2	34	1	33	1	1	0	41	.
HG02080	35	2	35	0	0	2	35	0	35	0	0	0	37	.
HG02145	58	3	57	2	1	1	57	2	57	2	0	0	61	.
HG02148	37	2	37	0	0	2	37	0	37	0	0	0	39	.
HG02257	46	4	43	2	3	2	45	2	43	2	2	0	50	.
HG02572	77	6	76	5	1	1	76	3	76	3	0	0	83	multiple_NUMTs
HG02622	30	3	29	1	1	2	28	0	28	0	0	0	33	.
HG02630	54	4	54	2	0	2	54	1	54	1	0	0	58	.
HG02717	57	4	57	1	0	3	56	1	56	1	0	0	61	.
HG02723	40	7	38	4	2	3	38	3	37	3	1	0	47	.
HG02818	39	4	38	2	1	2	38	2	38	2	0	0	43	.
HG02886	50	5	50	2	0	3	49	2	49	1	0	1	55	.
HG03098	50	5	50	2	0	3	50	1	50	1	0	0	55	.
HG03453	48	4	48	1	0	3	48	0	48	0	0	0	52	.
HG03486	52	6	52	3	0	3	52	2	52	2	0	0	58	.
HG03492	31	2	31	1	0	1	30	1	30	1	0	0	33	.
HG03516	52	4	52	1	0	3	51	1	51	1	0	0	56	.
HG03540	55	3	55	2	0	1	55	2	55	2	0	0	58	.
HG03579	57	4	57	2	0	2	57	2	57	2	0	0	61	.
NA18906	81	3	80	2	1	1	77	2	77	2	0	0	84	.
NA19240	33	3	33	1	0	2	32	0	32	0	0	0	36	.
NA20129	30	2	30	1	0	1	30	1	30	1	0	0	32	.
