Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
HG00438	33	13	31	3	2	10	31	8	30	2	1	6	46	.
HG00621	25	22	25	5	0	17	24	18	24	4	0	14	47	.
HG00673	31	19	29	5	2	14	28	14	27	4	1	10	50	.
HG00733	30	6	29	1	1	5	29	4	29	1	0	3	36	.
HG00735	43	5	40	3	3	2	42	3	40	2	2	1	48	.
HG00741	81	7	80	0	1	7	78	5	78	0	0	5	88	.
HG01071	44	6	41	0	3	6	41	3	39	0	2	3	50	mean_cvg_less_500
HG01106	36	8	35	1	1	7	35	5	35	1	0	4	44	.
HG01109	84	6	83	1	1	5	80	5	80	1	0	4	90	.
HG01175	30	15	29	2	1	13	29	13	29	2	0	11	45	.
HG01258	31	11	29	2	2	9	26	3	26	1	0	2	42	.
HG01358	33	32	32	8	1	24	32	29	32	7	0	22	65	.
HG01361	32	12	30	1	2	11	27	3	27	0	0	3	44	.
HG01891	55	32	55	6	0	26	55	30	55	6	0	24	87	mean_cvg_less_500
HG01928	33	18	33	2	0	16	31	7	31	1	0	6	51	.
HG01952	33	15	32	2	1	13	32	12	32	2	0	10	48	.
HG01978	15	33	15	7	0	26	15	30	15	7	0	23	48	.
HG02055	38	5	35	1	3	4	34	2	33	1	1	1	43	.
HG02080	35	5	35	0	0	5	35	3	35	0	0	3	40	.
HG02145	57	5	56	1	1	4	56	2	56	0	0	2	62	.
HG02148	37	10	37	1	0	9	37	7	37	1	0	6	47	.
HG02257	47	56	44	12	3	44	46	53	44	12	2	41	103	.
HG02572	79	5	78	2	1	3	76	3	76	1	0	2	84	.
HG02622	30	20	29	2	1	18	28	16	28	1	0	15	50	.
HG02630	55	16	55	2	0	14	54	12	54	2	0	10	71	.
HG02717	57	7	57	1	0	6	56	4	56	1	0	3	64	.
HG02723	41	6	39	1	2	5	38	3	37	1	1	2	47	.
HG02818	39	10	38	3	1	7	38	6	38	2	0	4	49	.
HG02886	50	8	50	2	0	6	49	5	49	1	0	4	58	.
HG03098	52	7	52	0	0	7	51	3	51	0	0	3	59	.
HG03453	49	26	49	2	0	24	48	22	48	2	0	20	75	.
HG03486	53	10	53	2	0	8	52	7	52	2	0	5	63	.
HG03492	31	5	31	2	0	3	30	4	30	2	0	2	36	.
HG03516	52	5	52	0	0	5	51	2	51	0	0	2	57	.
HG03540	56	75	56	10	0	65	56	70	56	9	0	61	131	.
HG03579	57	8	57	3	0	5	57	6	57	3	0	3	65	.
NA18906	81	5	80	2	1	3	77	4	77	2	0	2	86	.
NA19240	34	4	34	0	0	4	32	2	32	0	0	2	38	.
NA20129	30	4	30	1	0	3	30	3	30	1	0	2	34	.
