Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	34	22	32	9	2	13	32	13	31	7	1	6	56
HG00621	43	78	43	61	0	17	41	72	41	58	0	14	121
HG00673	54	35	53	19	1	16	52	26	51	16	1	10	89
HG00733	29	14	28	8	1	6	28	10	28	7	0	3	43
HG00735	80	22	77	17	3	5	79	17	76	16	3	1	102
HG00741	129	32	129	23	0	9	129	25	129	20	0	5	161
HG01071	77	32	74	23	3	9	74	23	71	21	3	2	109
HG01106	58	24	58	15	0	9	58	19	58	15	0	4	82
HG01109	148	9	146	4	2	5	142	8	142	4	0	4	157
HG01175	28	40	28	25	0	15	28	35	28	24	0	11	68
HG01258	41	16	40	6	1	10	38	3	38	1	0	2	57
HG01358	29	93	29	67	0	26	29	87	29	65	0	22	122
HG01361	54	21	53	7	1	14	51	8	50	5	1	3	75
HG01891	99	84	99	58	0	26	99	81	99	57	0	24	183
HG01928	55	39	55	21	0	18	52	25	52	19	0	6	94
HG01952	30	60	30	45	0	15	30	54	30	44	0	10	90
HG01978	26	93	26	66	0	27	26	88	26	65	0	23	119
HG02055	59	11	57	5	2	6	55	6	55	4	0	2	70
HG02080	61	7	61	2	0	5	61	4	61	2	0	2	68
HG02145	100	9	98	5	2	4	98	6	98	4	0	2	109
HG02148	70	28	70	18	0	10	70	24	70	18	0	6	98
HG02257	75	146	74	97	1	49	75	140	74	97	1	43	221
HG02572	139	12	137	9	2	3	137	6	137	4	0	2	151
HG02622	34	55	34	35	0	20	33	48	33	33	0	15	89
HG02630	97	47	97	33	0	14	95	42	95	32	0	10	144
HG02717	106	9	106	3	0	6	104	5	104	3	0	2	115
HG02723	44	10	42	4	2	6	41	5	40	3	1	2	54
HG02818	39	15	38	7	1	8	38	10	38	6	0	4	54
HG02886	93	11	93	4	0	7	91	6	91	2	0	4	104
HG03098	94	12	94	5	0	7	92	8	92	5	0	3	106
HG03453	87	74	87	49	0	25	85	68	85	48	0	20	161
HG03486	96	13	96	4	0	9	94	9	94	4	0	5	109
HG03492	57	7	57	3	0	4	55	6	55	3	0	3	64
HG03516	94	9	94	2	0	7	92	4	92	2	0	2	103
HG03540	84	172	84	108	0	64	84	167	84	107	0	60	256
HG03579	99	19	99	13	0	6	99	16	99	12	0	4	118
NA18906	150	7	148	4	2	3	144	6	144	4	0	2	157
NA19240	58	8	58	4	0	4	56	4	56	2	0	2	66
NA20129	50	6	50	3	0	3	50	5	50	3	0	2	56
