Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	33	5	31	1	2	4	31	1	30	0	1	1	38
HG00621	25	9	25	6	0	3	24	6	24	5	0	1	34
HG00673	31	7	29	4	2	3	28	4	27	3	1	1	38
HG00733	30	5	29	3	1	2	29	3	29	3	0	0	35
HG00735	43	2	40	1	3	1	42	1	40	1	2	0	45
HG00741	80	2	79	1	1	1	78	0	78	0	0	0	82
HG01071	43	5	40	1	3	4	41	1	39	0	2	1	48
HG01106	36	2	35	1	1	1	35	0	35	0	0	0	38
HG01109	84	3	83	1	1	2	80	2	80	1	0	1	87
HG01175	30	4	29	1	1	3	29	2	29	1	0	1	34
HG01258	29	7	28	3	1	4	26	2	26	1	0	1	36
HG01358	33	10	32	7	1	3	32	7	32	6	0	1	43
HG01361	30	7	29	3	1	4	27	2	27	2	0	0	37
HG01891	55	4	55	3	0	1	55	3	55	3	0	0	59
HG01928	33	7	33	1	0	6	31	2	31	0	0	2	40
HG01952	31	6	31	2	0	4	31	3	31	2	0	1	37
HG01978	15	7	15	2	0	5	15	5	15	2	0	3	22
HG02055	37	5	34	3	3	2	34	2	33	2	1	0	42
HG02080	35	2	35	0	0	2	35	0	35	0	0	0	37
HG02145	58	3	57	2	1	1	57	2	57	2	0	0	61
HG02148	37	2	37	0	0	2	37	0	37	0	0	0	39
HG02257	47	9	44	5	3	4	46	7	44	5	2	2	56
HG02572	77	6	76	5	1	1	76	3	76	3	0	0	83
HG02622	29	5	29	2	0	3	28	1	28	1	0	0	34
HG02630	55	5	55	2	0	3	54	3	54	2	0	1	60
HG02717	57	4	57	1	0	3	56	1	56	1	0	0	61
HG02723	41	6	39	3	2	3	39	2	38	2	1	0	47
HG02818	39	5	38	2	1	3	38	3	38	2	0	1	44
HG02886	50	6	50	2	0	4	49	2	49	1	0	1	56
HG03098	51	4	51	1	0	3	50	1	50	1	0	0	55
HG03453	49	6	49	0	0	6	48	3	48	0	0	3	55
HG03486	53	5	53	2	0	3	52	2	52	2	0	0	58
HG03492	31	2	31	1	0	1	30	1	30	1	0	0	33
HG03516	52	5	52	1	0	4	51	1	51	1	0	0	57
HG03540	56	7	56	5	0	2	56	5	56	4	0	1	63
HG03579	57	4	57	2	0	2	57	2	57	2	0	0	61
NA18906	81	3	80	2	1	1	77	2	77	2	0	0	84
NA19240	33	3	33	1	0	2	32	0	32	0	0	0	36
NA20129	30	2	30	1	0	1	30	1	30	1	0	0	32
