Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
HG00438	35	4	32	0	3	4	31	2	30	0	1	2	39	mean_cvg_less_500
HG00621	26	9	26	4	0	5	24	7	24	4	0	3	35	mean_cvg_less_500
HG00673	30	14	28	5	2	9	28	10	27	4	1	6	44	mean_cvg_less_500
HG00733	31	4	29	1	2	3	29	3	29	1	0	2	35	mean_cvg_less_500
HG00735	43	1	40	0	3	1	42	0	40	0	2	0	44	mean_cvg_less_500
HG00741	79	53	78	33	1	20	76	51	76	32	0	19	132	mean_cvg_less_500;min_cvg_less_100
HG01071	44	6	41	1	3	5	41	3	39	1	2	2	50	mean_cvg_less_500
HG01106	36	4	35	1	1	3	35	2	35	1	0	1	40	mean_cvg_less_500
HG01109	83	10	80	0	3	10	80	9	80	0	0	9	93	mean_cvg_less_500;min_cvg_less_100
HG01175	0	0	0	0	0	0	0	0	0	0	0	0	0	mean_cvg_less_500;min_cvg_less_100
HG01258	31	4	29	1	2	3	26	2	26	1	0	1	35	mean_cvg_less_500
HG01358	34	9	32	5	2	4	32	8	32	5	0	3	43	mean_cvg_less_500
HG01361	33	6	30	1	3	5	27	4	27	1	0	3	39	mean_cvg_less_500
HG01891	56	1	55	1	1	0	55	1	55	1	0	0	57	.
HG01928	36	7	34	2	2	5	31	5	31	2	0	3	43	mean_cvg_less_500
HG01952	34	7	32	4	2	3	32	6	32	4	0	2	41	mean_cvg_less_500
HG01978	15	15	15	8	0	7	15	12	15	8	0	4	30	mean_cvg_less_500
HG02055	38	5	35	1	3	4	34	3	33	1	1	2	43	mean_cvg_less_500
HG02080	35	7	35	0	0	7	35	5	35	0	0	5	42	mean_cvg_less_500;min_cvg_less_100
HG02145	58	1	57	0	1	1	57	0	57	0	0	0	59	mean_cvg_less_500
HG02148	38	6	37	3	1	3	37	5	37	3	0	2	44	mean_cvg_less_500
HG02257	47	20	44	12	3	8	46	18	44	12	2	6	67	mean_cvg_less_500
HG02572	79	3	78	1	1	2	76	2	76	1	0	1	82	mean_cvg_less_500
HG02622	31	10	30	3	1	7	28	8	28	3	0	5	41	mean_cvg_less_500
HG02630	55	10	55	4	0	6	54	7	54	4	0	3	65	mean_cvg_less_500
HG02717	57	5	57	1	0	4	56	2	56	1	0	1	62	mean_cvg_less_500
HG02723	42	8	40	2	2	6	39	5	38	2	1	3	50	mean_cvg_less_500
HG02818	41	2	38	1	3	1	38	2	38	1	0	1	43	mean_cvg_less_500
HG02886	50	6	50	1	0	5	49	3	49	1	0	2	56	mean_cvg_less_500
HG03098	52	6	52	0	0	6	51	3	51	0	0	3	58	mean_cvg_less_500
HG03453	50	10	49	6	1	4	48	8	48	6	0	2	60	mean_cvg_less_500
HG03486	53	10	53	4	0	6	52	7	52	4	0	3	63	mean_cvg_less_500
HG03492	31	6	31	2	0	4	30	5	30	2	0	3	37	mean_cvg_less_500
HG03516	53	4	52	0	1	4	51	2	51	0	0	2	57	mean_cvg_less_500
HG03540	56	18	56	8	0	10	56	17	56	8	0	9	74	mean_cvg_less_500
HG03579	59	5	58	3	1	2	58	4	58	3	0	1	64	mean_cvg_less_500
NA18906	80	7	77	3	3	4	77	6	77	3	0	3	87	mean_cvg_less_500
NA19240	34	4	34	0	0	4	32	2	32	0	0	2	38	mean_cvg_less_500
NA20129	30	4	30	1	0	3	30	3	30	1	0	2	34	mean_cvg_less_500
