Run	ContaminationStatus	ContaminationLevel	Distance	SampleCoverage
HG00438	NO	ND	14	270
HG00621	NO	ND	12	216
HG00673	NO	ND	13	132
HG00733	NO	ND	13	233
HG00735	YES	0.005	18	267
HG00741	NO	ND	21	56
HG01071	NO	ND	17	268
HG01106	YES	0.004	16	252
HG01109	NO	ND	27	57
HG01175	NO	ND	13	12
HG01258	NO	ND	15	187
HG01358	NO	ND	15	196
HG01361	NO	ND	15	323
HG01891	YES	0.001	16	1557
HG01928	NO	ND	15	243
HG01952	NO	ND	13	218
HG01978	NO	ND	10	200
HG02055	NO	ND	15	294
HG02080	NO	ND	17	69
HG02145	NO	ND	18	317
HG02148	NO	ND	15	246
HG02257	NO	ND	14	175
HG02572	NO	ND	20	305
HG02622	NO	ND	16	179
HG02630	NO	ND	22	228
HG02717	NO	ND	22	318
HG02723	NO	ND	14	334
HG02818	NO	ND	16	293
HG02886	NO	ND	20	325
HG03098	NO	ND	21	305
HG03453	NO	ND	20	197
HG03486	NO	ND	20	321
HG03492	NO	ND	12	306
HG03516	NO	ND	20	329
HG03540	NO	ND	20	147
HG03579	NO	ND	20	190
NA18906	NO	ND	27	307
NA19240	NO	ND	16	319
NA20129	NO	ND	14	322
