Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
HG00438	33	44	31	10	2	34	31	38	30	9	1	29	77
HG00621	25	100	25	51	0	49	24	96	24	50	0	46	125
HG00673	29	114	27	42	2	72	27	109	26	41	1	68	143
HG00733	31	21	29	6	2	15	29	20	29	6	0	14	52
HG00735	43	50	40	23	3	27	42	47	40	23	2	24	93
HG00741	71	838	70	490	1	348	68	826	68	487	0	339	909
HG01071	44	69	41	36	3	33	41	65	39	35	2	30	113
HG01106	35	64	34	28	1	36	34	59	34	28	0	31	99
HG01109	83	129	80	47	3	82	80	123	80	46	0	77	212
HG01175	0	0	0	0	0	0	0	0	0	0	0	0	0
HG01258	30	27	28	5	2	22	26	21	26	3	0	18	57
HG01358	33	98	32	51	1	47	32	91	32	50	0	41	131
HG01361	31	28	29	5	2	23	27	22	27	4	0	18	59
HG01891	56	1	55	1	1	0	55	1	55	1	0	0	57
HG01928	34	83	33	38	1	45	31	77	31	36	0	41	117
HG01952	32	103	31	55	1	48	31	97	31	54	0	43	135
HG01978	15	138	15	74	0	64	15	133	15	74	0	59	153
HG02055	38	21	35	3	3	18	34	18	33	3	1	15	59
HG02080	33	53	33	13	0	40	33	47	33	13	0	34	86
HG02145	58	21	57	4	1	17	57	19	57	4	0	15	79
HG02148	37	60	37	21	0	39	37	55	37	20	0	35	97
HG02257	44	206	41	116	3	90	43	202	41	114	2	88	250
HG02572	79	24	78	4	1	20	76	21	76	4	0	17	103
HG02622	29	97	28	45	1	52	27	91	27	43	0	48	126
HG02630	53	79	53	40	0	39	52	75	52	40	0	35	132
HG02717	57	22	57	3	0	19	56	16	56	3	0	13	79
HG02723	42	25	40	3	2	22	39	21	38	3	1	18	67
HG02818	39	23	38	4	1	19	38	18	38	4	0	14	62
HG02886	50	16	50	2	0	14	49	11	49	1	0	10	66
HG03098	51	24	51	3	0	21	50	20	50	3	0	17	75
HG03453	47	108	47	55	0	53	46	100	46	54	0	46	155
HG03486	53	23	53	8	0	15	52	20	52	8	0	12	76
HG03492	31	18	31	3	0	15	30	17	30	3	0	14	49
HG03516	51	23	51	2	0	21	50	18	50	2	0	16	74
HG03540	55	131	55	69	0	62	55	127	55	68	0	59	186
HG03579	55	70	55	34	0	36	55	66	55	34	0	32	125
NA18906	80	23	77	4	3	19	77	21	77	4	0	17	103
NA19240	33	23	33	2	0	21	32	19	32	1	0	18	56
NA20129	30	23	30	4	0	19	30	21	30	4	0	17	53
