Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
sample_A	27	45	27	45	0	0	27	44	27	44	0	0	72	.
sample_B	24	39	24	39	0	0	22	36	22	36	0	0	63	.
sample_C	35	45	35	45	0	0	35	40	35	40	0	0	80	.
sample_D	28	40	28	40	0	0	28	38	28	38	0	0	68	.
sample_E	34	37	34	37	0	0	34	36	34	36	0	0	71	.
sample_F	21	42	21	42	0	0	21	40	21	40	0	0	63	.
sample_G	30	40	30	40	0	0	30	39	30	39	0	0	70	.
sample_HV	8	39	8	39	0	0	8	38	8	38	0	0	47	.
sample_H	9	71	9	71	0	0	9	70	9	70	0	0	80	.
sample_I	29	40	29	40	0	0	29	38	29	38	0	0	69	.
sample_J	26	41	26	41	0	0	26	40	26	40	0	0	67	.
sample_K	27	41	27	41	0	0	26	40	26	40	0	0	68	.
sample_L0	73	48	73	48	0	0	73	43	73	43	0	0	121	multiple_NUMTs
sample_L1	60	49	60	49	0	0	60	45	60	45	0	0	109	multiple_NUMTs
sample_L2	45	40	45	40	0	0	45	40	45	40	0	0	85	.
sample_L3	20	41	20	41	0	0	20	39	20	39	0	0	61	.
sample_L4	45	44	45	44	0	0	44	42	44	42	0	0	89	.
sample_L5	67	47	67	47	0	0	67	42	67	42	0	0	114	multiple_NUMTs
sample_M	23	39	23	39	0	0	23	37	23	37	0	0	62	.
sample_N	29	42	29	42	0	0	29	41	29	41	0	0	71	.
sample_P	22	39	22	39	0	0	22	38	22	38	0	0	61	.
sample_R	12	39	12	39	0	0	12	37	12	37	0	0	51	.
sample_S	1	45	1	45	0	0	1	43	1	43	0	0	46	.
sample_T	28	45	28	45	0	0	28	44	28	44	0	0	73	.
sample_U	16	41	16	41	0	0	16	41	16	41	0	0	57	.
sample_V	12	38	12	38	0	0	12	37	12	37	0	0	50	.
sample_W	29	40	29	40	0	0	29	39	29	39	0	0	69	.
sample_X	27	42	27	42	0	0	26	39	26	39	0	0	69	.
sample_Y	22	42	22	42	0	0	22	41	22	41	0	0	64	.
sample_Z	32	42	32	42	0	0	32	39	32	39	0	0	74	mismatch_HG
