Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
sample_A	27	32	27	32	0	0	27	30	27	30	0	0	59
sample_B	24	26	24	26	0	0	22	24	22	24	0	0	50
sample_C	36	30	36	30	0	0	36	27	36	27	0	0	66
sample_D	28	28	28	28	0	0	28	28	28	28	0	0	56
sample_E	34	24	34	24	0	0	34	23	34	23	0	0	58
sample_F	21	28	21	28	0	0	21	26	21	26	0	0	49
sample_G	30	23	30	23	0	0	30	23	30	23	0	0	53
sample_HV	8	20	8	20	0	0	8	19	8	19	0	0	28
sample_H	9	56	9	56	0	0	9	55	9	55	0	0	65
sample_I	29	29	29	29	0	0	29	29	29	29	0	0	58
sample_J	26	27	26	27	0	0	26	27	26	27	0	0	53
sample_K	27	22	27	22	0	0	26	22	26	22	0	0	49
sample_L0	74	27	74	27	0	0	74	22	74	22	0	0	101
sample_L1	63	25	63	25	0	0	63	21	63	21	0	0	88
sample_L2	47	24	47	24	0	0	47	24	47	24	0	0	71
sample_L3	20	25	20	25	0	0	20	25	20	25	0	0	45
sample_L4	47	21	47	21	0	0	46	21	46	21	0	0	68
sample_L5	69	27	69	27	0	0	69	22	69	22	0	0	96
sample_M	23	25	23	25	0	0	23	25	23	25	0	0	48
sample_N	30	26	30	26	0	0	30	25	30	25	0	0	56
sample_P	22	25	22	25	0	0	22	23	22	23	0	0	47
sample_R	12	27	12	27	0	0	12	27	12	27	0	0	39
sample_S	2	30	2	30	0	0	1	30	1	30	0	0	32
sample_T	29	26	29	26	0	0	29	25	29	25	0	0	55
sample_U	16	23	16	23	0	0	16	23	16	23	0	0	39
sample_V	12	23	12	23	0	0	12	22	12	22	0	0	35
sample_W	30	25	30	25	0	0	30	24	30	24	0	0	55
sample_X	28	28	28	28	0	0	27	27	27	27	0	0	56
sample_Y	22	22	22	22	0	0	22	21	22	21	0	0	44
sample_Z	34	24	34	24	0	0	33	24	33	24	0	0	58
