Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
sample_A	27	59	26	41	1	18	26	56	26	40	0	16	86	.
sample_B	23	60	23	38	0	22	21	52	21	35	0	17	83	.
sample_C	34	64	32	44	2	20	33	59	32	40	1	19	98	.
sample_D	26	63	26	42	0	21	26	61	26	41	0	20	89	.
sample_E	32	59	32	40	0	19	32	56	32	39	0	17	91	.
sample_F	21	59	19	42	2	17	20	56	19	40	1	16	80	multiple_NUMTs
sample_G	29	56	29	38	0	18	29	54	29	37	0	17	85	.
sample_HV	7	58	7	39	0	19	7	55	7	38	0	17	65	.
sample_H	8	96	8	71	0	25	8	93	8	70	0	23	104	.
sample_I	28	59	28	38	0	21	28	56	28	37	0	19	87	.
sample_J	24	58	24	39	0	19	24	56	24	38	0	18	82	.
sample_K	25	62	25	42	0	20	24	60	24	41	0	19	87	.
sample_L0	71	67	70	47	1	20	70	61	70	43	0	18	138	multiple_NUMTs
sample_L1	57	68	56	50	1	18	56	62	56	46	0	16	125	multiple_NUMTs
sample_L2	41	63	41	45	0	18	41	61	41	45	0	16	104	.
sample_L3	18	57	18	39	0	18	18	56	18	39	0	17	75	multiple_NUMTs
sample_L4	44	61	44	41	0	20	43	57	43	40	0	17	105	.
sample_L5	61	71	60	52	1	19	60	63	60	48	0	15	132	multiple_NUMTs
sample_M	22	53	22	38	0	15	22	51	22	37	0	14	75	.
sample_N	27	58	27	41	0	17	27	53	27	40	0	13	85	.
sample_P	21	64	20	42	1	22	20	60	20	41	0	19	85	.
sample_R	12	55	12	38	0	17	12	53	12	37	0	16	67	.
sample_S	1	59	1	40	0	19	1	56	1	38	0	18	60	.
sample_T	25	60	25	41	0	19	25	57	25	40	0	17	85	.
sample_U	14	61	14	41	0	20	14	60	14	41	0	19	75	.
sample_V	10	56	10	38	0	18	10	53	10	37	0	16	66	.
sample_W	26	57	26	41	0	16	26	53	26	40	0	13	83	.
sample_X	25	62	25	41	0	21	24	57	24	39	0	18	87	multiple_NUMTs
sample_Y	21	57	21	39	0	18	21	54	21	38	0	16	78	.
sample_Z	29	63	28	43	1	20	29	60	28	41	1	19	92	.
