Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
sample_A	24	48	23	39	1	9	23	46	23	39	0	7	72
sample_B	19	52	19	40	0	12	17	46	17	37	0	9	71
sample_C	29	52	27	41	2	11	28	50	27	40	1	10	81
sample_D	25	48	25	38	0	10	25	47	25	38	0	9	73
sample_E	26	52	26	42	0	10	26	49	26	41	0	8	78
sample_F	21	45	19	36	2	9	20	44	19	36	1	8	66
sample_G	27	47	27	37	0	10	27	46	27	37	0	9	74
sample_HV	6	47	6	37	0	10	6	44	6	36	0	8	53
sample_H	6	86	6	70	0	16	6	83	6	69	0	14	92
sample_I	26	47	26	37	0	10	26	46	26	37	0	9	73
sample_J	23	47	23	38	0	9	23	45	23	37	0	8	70
sample_K	23	49	23	39	0	10	22	48	22	39	0	9	72
sample_L0	63	57	62	48	1	9	62	53	62	45	0	8	120
sample_L1	52	55	51	46	1	9	51	52	51	44	0	8	107
sample_L2	39	52	39	42	0	10	39	51	39	42	0	9	91
sample_L3	15	49	15	39	0	10	15	48	15	39	0	9	64
sample_L4	37	53	37	42	0	11	36	51	36	42	0	9	90
sample_L5	57	57	56	47	1	10	56	53	56	45	0	8	114
sample_M	18	48	18	38	0	10	18	47	18	38	0	9	66
sample_N	26	47	26	37	0	10	26	44	26	36	0	8	73
sample_P	19	46	18	38	1	8	18	44	18	38	0	6	65
sample_R	8	48	8	38	0	10	8	47	8	38	0	9	56
sample_S	0	47	0	37	0	10	0	45	0	36	0	9	47
sample_T	27	48	27	38	0	10	27	45	27	37	0	8	75
sample_U	11	50	11	40	0	10	11	49	11	40	0	9	61
sample_V	7	48	7	38	0	10	7	45	7	37	0	8	55
sample_W	26	49	26	39	0	10	26	46	26	38	0	8	75
sample_X	23	51	23	40	0	11	22	48	22	39	0	9	74
sample_Y	19	47	19	37	0	10	19	44	19	36	0	8	66
sample_Z	25	48	24	39	1	9	25	46	24	38	1	8	73
