Run	all_reads	mapped_reads	MT_reads	mtDNA-CN
sample_A	222846	222846	221485	363733
sample_B	222817	222817	221539	363869
sample_C	222768	222768	221499	363884
sample_D	222856	222856	221507	363753
sample_E	222787	222787	221546	363930
sample_F	222820	222820	221556	363892
sample_G	222856	222856	221511	363760
sample_HV	222954	222954	221789	364056
sample_H	222986	222986	221850	364104
sample_I	222837	222837	221564	363878
sample_J	222856	222856	221515	363766
sample_K	222837	222837	221564	363878
sample_L0	222923	222923	216524	355463
sample_L1	222744	222744	217268	356971
sample_L2	222856	222856	219925	361155
sample_L3	222837	222837	221558	363868
sample_L4	222837	222837	221554	363861
sample_L5	222841	222841	218500	358839
sample_M	222837	222837	221558	363868
sample_N	222787	222787	221548	363933
sample_P	222858	222858	221583	363875
sample_R	222837	222837	221564	363878
sample_S	222997	222997	222004	364339
sample_T	222787	222787	221548	363933
sample_U	222856	222856	221515	363766
sample_V	222947	222947	221763	364025
sample_W	222787	222787	221548	363933
sample_X	222837	222837	221502	363776
sample_Y	222787	222787	221450	363772
sample_Z	222873	222873	221519	363745
