Run	count	min	q1	median	q3	max	mean
sample_A	16569	1594	1963	1993	2023	2136	1984.67
sample_B	16569	1579	1964	1994	2024	2111	1984.84
sample_C	16569	1560	1962	1998	2027	2134	1986.26
sample_D	16569	1570	1962	1993	2023	2113	1984.86
sample_E	16569	1508	1958	1993	2021	2145	1984.34
sample_F	16569	1615	1961	1995	2023	2129	1986.46
sample_G	16569	1570	1962	1993	2023	2113	1984.85
sample_HV	16569	1507	1958	1993	2021	2145	1984.38
sample_H	16569	1571	1962	1993	2023	2113	1984.92
sample_I	16569	1571	1962	1993	2023	2113	1984.87
sample_J	16569	1570	1962	1993	2023	2113	1984.86
sample_K	16569	1571	1962	1993	2023	2113	1984.88
sample_L0	16569	714	1942	1982	2019	2131	1953.1
sample_L1	16569	715	1943	1983	2019	2130	1954.71
sample_L2	16569	1570	1955	1990	2022	2112	1979.46
sample_L3	16569	1571	1962	1993	2023	2113	1984.91
sample_L4	16569	1571	1962	1993	2023	2113	1984.85
sample_L5	16569	1617	1945	1988	2019	2125	1974.66
sample_M	16569	1571	1962	1993	2023	2113	1984.89
sample_N	16569	1508	1958	1993	2021	2145	1984.36
sample_P	16569	1590	1963	1993	2023	2136	1984.6
sample_R	16569	1571	1962	1993	2023	2113	1984.91
sample_S	16569	1571	1962	1993	2023	2112	1984.89
sample_T	16569	1508	1958	1993	2021	2145	1984.33
sample_U	16569	1570	1962	1993	2023	2113	1984.88
sample_V	16569	1508	1958	1993	2021	2145	1984.39
sample_W	16569	1508	1958	1993	2021	2145	1984.33
sample_X	16569	1571	1961	1993	2023	2113	1984.5
sample_Y	16569	1508	1958	1993	2021	2145	1983.94
sample_Z	16569	1591	1963	1992	2023	2136	1984.71
