Run	count	min	q1	median	q3	max	mean
sample_A	16568	1593	1963	1993	2023	2137	1984.97
sample_B	16560	1579	1964	1995	2024	2111	1985.28
sample_C	16564	1560	1962	1998	2027	2134	1986.56
sample_D	16569	1570	1962	1993	2023	2113	1985.08
sample_E	16570	1508	1958	1993	2021	2145	1984.68
sample_F	16566	1615	1961	1995	2023	2129	1986.66
sample_G	16569	1570	1962	1993	2023	2113	1985.08
sample_HV	16570	1507	1958	1993	2021	2145	1984.66
sample_H	16569	1571	1962	1993	2023	2113	1985.08
sample_I	16569	1571	1962	1993	2023	2113	1985.08
sample_J	16569	1570	1962	1993	2023	2113	1985.06
sample_K	16569	1571	1962	1993	2023	2113	1985.08
sample_L0	16567	1542	1960	1992	2024	2131	1985.51
sample_L1	16567	1542	1960	1992	2024	2130	1985.42
sample_L2	16569	1570	1962	1993	2024	2113	1985.23
sample_L3	16569	1571	1962	1993	2023	2113	1985.1
sample_L4	16569	1571	1962	1993	2023	2113	1985.1
sample_L5	16566	1617	1962	1996	2023	2134	1987.17
sample_M	16569	1571	1962	1993	2023	2113	1985.1
sample_N	16570	1508	1958	1993	2021	2145	1984.68
sample_P	16568	1589	1963	1993	2023	2137	1984.9
sample_R	16569	1571	1962	1993	2023	2113	1985.08
sample_S	16569	1571	1962	1993	2023	2112	1984.95
sample_T	16570	1508	1958	1993	2021	2145	1984.68
sample_U	16569	1570	1962	1993	2023	2113	1985.06
sample_V	16570	1508	1958	1993	2021	2145	1984.68
sample_W	16570	1508	1958	1993	2021	2145	1984.68
sample_X	16569	1571	1962	1993	2023	2113	1985.1
sample_Y	16570	1508	1958	1993	2021	2145	1984.7
sample_Z	16568	1591	1963	1993	2023	2137	1984.95
