Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A
sample_A	31	43	28	35	3	8	28	43	28	35	0	8	74
sample_B	27	43	25	35	2	8	22	41	22	33	0	8	70
sample_C	40	42	36	34	4	8	38	41	36	33	2	8	82
sample_D	28	44	27	36	1	8	27	44	27	36	0	8	72
sample_E	37	43	35	35	2	8	35	42	35	34	0	8	80
sample_F	24	43	21	35	3	8	22	43	21	35	1	8	67
sample_G	30	44	29	36	1	8	29	44	29	36	0	8	74
sample_HV	10	43	8	35	2	8	8	42	8	34	0	8	53
sample_H	8	43	7	35	1	8	7	43	7	35	0	8	51
sample_I	29	44	28	36	1	8	28	44	28	36	0	8	73
sample_J	26	44	25	36	1	8	25	44	25	36	0	8	70
sample_K	28	44	27	36	1	8	26	44	26	36	0	8	72
sample_L0	79	43	75	35	4	8	75	43	75	35	0	8	122
sample_L1	67	43	65	35	2	8	63	43	63	35	0	8	110
sample_L2	47	44	46	36	1	8	46	44	46	36	0	8	91
sample_L3	20	44	19	36	1	8	19	44	19	36	0	8	64
sample_L4	47	44	46	36	1	8	45	44	45	36	0	8	91
sample_L5	72	44	68	36	4	8	68	44	68	36	0	8	116
sample_M	23	44	22	36	1	8	22	44	22	36	0	8	67
sample_N	32	43	30	35	2	8	30	42	30	34	0	8	75
sample_P	25	43	22	35	3	8	22	43	22	35	0	8	68
sample_R	12	44	11	36	1	8	11	44	11	36	0	8	56
sample_S	3	43	2	35	1	8	1	43	1	35	0	8	46
sample_T	31	43	29	35	2	8	29	42	29	34	0	8	74
sample_U	17	44	16	36	1	8	16	44	16	36	0	8	61
sample_V	14	43	12	35	2	8	12	42	12	34	0	8	57
sample_W	32	43	30	35	2	8	30	42	30	34	0	8	75
sample_X	29	44	28	36	1	8	26	44	26	36	0	8	73
sample_Y	24	43	22	35	2	8	22	42	22	34	0	8	67
sample_Z	35	43	33	35	2	8	33	43	32	35	1	8	78
